frame,zone_name,zone_id,count,density,d_norm,s_norm,c_norm,crs,risk,factor,gate_summary,proj_crs,crr,resource_status
241,Central Zone,1,697,11.617,1.0,0.425,0.105,0.9302,DANGER,DENSITY,Gate-2:OPEN[HIGH] | Gate-3:OPEN[MEDIUM],0.4416,52.5,CRITICAL
241,Exit Zone,2,295,7.375,1.0,0.425,0.105,0.9302,DANGER,DENSITY,Gate-3:OPEN[HIGH] | Gate-4:OPEN[MEDIUM],0.4416,52.5,CRITICAL
253,Entry Zone,0,52,1.3,0.1857,0.5135,0.1558,0.2599,SAFE,SPEED,Gate-1:HOLD[LOW] | Gate-2:HOLD[LOW],0.2499,3.8,CRITICAL
253,Central Zone,1,704,11.733,1.0,0.5135,0.1558,0.7968,DANGER,DENSITY,Gate-2:OPEN[HIGH] | Gate-3:OPEN[MEDIUM],0.4306,46.0,CRITICAL
253,Exit Zone,2,313,7.825,1.0,0.5135,0.1558,0.7968,DANGER,DENSITY,Gate-3:OPEN[HIGH] | Gate-4:OPEN[MEDIUM],0.4306,46.0,CRITICAL
265,Entry Zone,0,85,2.125,0.3036,0.7621,0.0704,0.3097,SAFE,SPEED,Gate-1:HOLD[LOW] | Gate-2:HOLD[LOW],0.2987,3.6,STRAINED
265,Central Zone,1,679,11.317,1.0,0.7621,0.0704,0.5506,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.378,31.3,STRAINED
265,Exit Zone,2,360,9.0,1.0,0.7621,0.0704,0.5506,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.378,31.3,STRAINED
277,Entry Zone,0,47,1.175,0.1679,1.0,0.1777,0.3719,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2487,33.1,CRITICAL
277,Central Zone,1,603,10.05,1.0,1.0,0.1777,0.5033,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4084,18.9,CRITICAL
277,Exit Zone,2,313,7.825,1.0,1.0,0.1777,0.5033,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4084,18.9,CRITICAL
289,Entry Zone,0,72,1.8,0.2571,1.0,0.2552,0.4048,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2872,29.1,CRITICAL
289,Central Zone,1,745,12.417,1.0,1.0,0.2552,0.5266,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4293,18.5,CRITICAL
289,Exit Zone,2,319,7.975,1.0,1.0,0.2552,0.5266,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4293,18.5,CRITICAL
301,Entry Zone,0,58,1.45,0.2071,1.0,0.2902,0.4099,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2843,30.6,CRITICAL
301,Central Zone,1,679,11.317,1.0,1.0,0.2902,0.537,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4387,18.3,CRITICAL
301,Exit Zone,2,281,7.025,1.0,1.0,0.2902,0.537,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4387,18.3,CRITICAL
313,Entry Zone,0,54,1.35,0.1929,1.0,0.1523,0.367,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2481,32.4,CRITICAL
313,Central Zone,1,643,10.717,1.0,1.0,0.1523,0.4957,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4015,19.0,CRITICAL
313,Exit Zone,2,270,6.75,0.9643,1.0,0.1523,0.4855,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.3969,18.2,CRITICAL
325,Entry Zone,0,49,1.225,0.175,1.0,0.1005,0.3495,SAFE,SPEED,Gate-1:HOLD[LOW] | Gate-2:HOLD[LOW],0.3349,4.2,STRAINED
325,Central Zone,1,704,11.733,1.0,1.0,0.1005,0.4802,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.3875,19.3,STRAINED
325,Exit Zone,2,311,7.775,1.0,1.0,0.1005,0.4802,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.3875,19.3,STRAINED
337,Entry Zone,0,47,1.175,0.1679,1.0,0.269,0.3993,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2706,32.2,CRITICAL
337,Central Zone,1,698,11.633,1.0,1.0,0.269,0.5307,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.433,18.4,CRITICAL
337,Exit Zone,2,259,6.475,0.925,1.0,0.269,0.5103,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4235,17.0,CRITICAL
349,Entry Zone,0,49,1.225,0.175,1.0,0.1759,0.3721,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2498,32.9,CRITICAL
349,Central Zone,1,697,11.617,1.0,1.0,0.1759,0.5028,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4079,18.9,CRITICAL
349,Exit Zone,2,265,6.625,0.9464,1.0,0.1759,0.4878,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.401,17.8,CRITICAL
361,Entry Zone,0,72,1.8,0.2571,1.0,0.36,0.4363,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.3124,28.4,CRITICAL
361,Central Zone,1,598,9.967,1.0,1.0,0.36,0.558,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4576,18.0,CRITICAL
361,Exit Zone,2,241,6.025,0.8607,1.0,0.36,0.5227,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4402,15.8,CRITICAL
373,Entry Zone,0,47,1.175,0.1679,1.0,0.399,0.4383,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.3018,31.1,CRITICAL
373,Central Zone,1,585,9.75,1.0,1.0,0.399,0.5697,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4681,17.8,CRITICAL
373,Exit Zone,2,263,6.575,0.9393,1.0,0.399,0.5528,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4603,16.7,CRITICAL
385,Entry Zone,0,56,1.4,0.2,1.0,0.4592,0.4598,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.3233,29.7,CRITICAL
385,Central Zone,1,608,10.133,1.0,1.0,0.4592,0.5878,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4844,17.6,CRITICAL
385,Exit Zone,2,247,6.175,0.8821,1.0,0.4592,0.5572,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4696,15.7,CRITICAL
397,Entry Zone,0,29,0.725,0.1036,1.0,0.2893,0.3985,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2616,34.4,CRITICAL
397,Central Zone,1,630,10.5,1.0,1.0,0.2893,0.5368,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4385,18.3,CRITICAL
397,Exit Zone,2,218,5.45,0.7786,1.0,0.2893,0.4853,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4117,15.2,CRITICAL
409,Entry Zone,0,68,1.7,0.2429,0.7936,0.3668,0.393,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2902,26.2,CRITICAL
409,Central Zone,1,644,10.733,1.0,0.7936,0.3668,0.6242,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4571,26.8,CRITICAL
409,Exit Zone,2,268,6.7,0.9571,0.7936,0.3668,0.5993,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4484,25.2,CRITICAL
421,Entry Zone,0,50,1.25,0.1786,1.0,0.11,0.3527,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2348,33.4,CRITICAL
421,Central Zone,1,619,10.317,1.0,1.0,0.11,0.483,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.3901,19.2,CRITICAL
421,Exit Zone,2,283,7.075,1.0,1.0,0.11,0.483,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.3901,19.2,CRITICAL
433,Entry Zone,0,61,1.525,0.2179,1.0,0.11,0.357,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2435,31.8,CRITICAL
433,Central Zone,1,661,11.017,1.0,1.0,0.11,0.483,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.3901,19.2,CRITICAL
433,Exit Zone,2,252,6.3,0.9,1.0,0.11,0.4565,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.3775,17.3,CRITICAL
445,Entry Zone,0,67,1.675,0.2393,1.0,0.196,0.3851,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2689,30.2,CRITICAL
445,Central Zone,1,707,11.783,1.0,1.0,0.196,0.5088,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4133,18.8,CRITICAL
445,Exit Zone,2,308,7.7,1.0,1.0,0.196,0.5088,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4133,18.8,CRITICAL
457,Entry Zone,0,70,1.75,0.25,0.9017,0.115,0.3411,SAFE,SPEED,Gate-1:HOLD[LOW] | Gate-2:HOLD[LOW],0.3279,3.9,STRAINED
457,Central Zone,1,729,12.15,1.0,0.9017,0.115,0.5086,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.3887,23.6,STRAINED
457,Exit Zone,2,306,7.65,1.0,0.9017,0.115,0.5086,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.3887,23.6,STRAINED
469,Entry Zone,0,59,1.475,0.2107,1.0,0.1566,0.3702,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2531,31.6,CRITICAL
469,Central Zone,1,670,11.167,1.0,1.0,0.1566,0.497,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4027,19.0,CRITICAL
